text,negative_reason
"@AmericanAir yeah, rebooked for tomorrow morning. But extremely disappointed to miss a wedding.",Value For Money
"“@AmericanAir: @Andrew_Wasila We're sorry you were uncomfortable, Andrew. What can we do for you?” SMA",Ground Service
@USAirways How do I get through?,Ground Service
@JetBlue I don't want JetBlue +TV. I want JetBlue +WIFI :(((,Inflight Entertainment
@SouthwestAir what robot is running this account. The same one that doesn't remember anything they ask. Same conversation over and over.,Ground Service
@AmericanAir I need to know what to do? My flight has been Cancelled Flightled and I can't speak to anyone. Help!,Value For Money
@united this is despicable I spoke to  many diff people &amp; everyone is telling me something different I have a claim no. I need my bag now,Ground Service
"@united So publicly you asked for details on my flt. Sent you a DM, like you asked, and have yet (2 days) to hear from you. #unitedfail",Ground Service
@SouthwestAir I have had 4 flights Cancelled Flightled through yall!!!! Im sick of it 😠😠,Value For Money
@USAirways not happy!! Trying to get home on Cancelled Flighted flight&amp; been on hold for 2 hours. Help!! This is just crazy...,Value For Money
@united u Cancelled Flighted my flight from IAD to JAX. Was supposed to use plane from BNA but u used that plane for another destination instead. 1/2,Value For Money
"@USAirways what's going on? I've been hearing a not-friendly 'Please wait' on repeat while I'm on hold, being transferred to idk where...",Ground Service
"@united I've sent the message, let me know if you got it. I'm not very twitter-literate. Also, is he REALLY going to be stuck for 18hrs?",Value For Money
@USAirways How soon is possible? I boarded the plane the 1st time at 6:30 am and it is now after 11:30 am and I'm still where I started.,Value For Money
@JetBlue they are now being sent off the plane? Does anyone at JetBlue have a clue?,Value For Money
"@united makes total sense, except flight wasn't full :) I've got empty seats around me &amp; overheads were more than half open when I boarded.",Legroom
@united flight 1219. My frustration boiled over after dealing with attendant. Her attitude was ridiculous.,Cabin Staff Service
@united stuck in DC trying to get to Denver. The engine shut down twice on us at the terminal. Got any available flights for me?,Value For Money
@united I hope so but I've received no help so far. I've been on hold for more than an hour. Can someone speak to me?,Ground Service
"@USAirways we've been waiting at the gate for 2 hrs, why are we now waiting to stow the luggage?",Value For Money
@united no still trying to get home.,Value For Money
@united on flight 1665 but it's not departing! Website says delayed due to operational difficulties-what does that mean?,Value For Money
@USAirways Sitting in a cesspool of germs on the ground in #PHL for 2 hours now.,Ground Service
@united From the air: Another missed cnxn 2day. ATC went on strike in Belize this AM. Now family &amp; I miss cnxn in EWR. Please see my DMs.,Value For Money
@VirginAmerica You have any flights flying into Boston tomorrow? I need to be home and you Cancelled Flightled my flight and didn't do anything,Value For Money
@AmericanAir  oh no she left the counter and went downstairs.  Then she told Elise an agent that joined her not to come over to counter.,Cabin Staff Service
@USAirways thanks for letting me know of the 12 hour delay and 2 hours on hold ?,Value For Money
"@JetBlue yes, they said the runway isn't ready and they're waiting for port authority to remove the snow and they are no where in sight.",Ground Service
"@AmericanAir i hope it takes you 6 hours to get home when it should take 20. my flight was Cancelled Flightled because they ""couldn't staff the plane""",Value For Money
"@USAirways 1st a Late Flight plane, then missing flight crew, then maintenance problems, gates switched 4 times. You call this customer service??",Value For Money
@united 2 days and 3 planes with mechanical issues?  Now over 1.5 hrs Late Flight sitting on this plane. This is insane!!,Value For Money
@AmericanAir Hey AA - can you help with an itinerary for a plat custy?  Stuck in PVR and phones aren't working,Ground Service
@united was such a better airline when you were Continental. $75 service fee + $75 Flight Booking Problems fee + $25 talk to a human fee: FU!!!,Ground Service
@AmericanAir for my delay and you know what I get a we don't credit anybody back a supervisor who cut me off when speaking,Ground Service
@AmericanAir 2hr and 20 min delayed...still waiting...you need to do something to improve... http://t.co/1m36NTPTR8,Value For Money
@AmericanAir we're still stucked in the airport. #AADelay #AA919,Value For Money
"@United and @DirectTV. Not to pile on, but it's time to update your in flight TV package. http://t.co/Lug4MFVWsA",Inflight Entertainment
@united the refund request functionality on http://t.co/5IMDckODfx is broken.i get a time out error.,Ground Service
@SouthwestAir Since when did it become ok for a passenger to save 3 rows of seats for people with a Late Flightr boarding position?how rude!,Legroom
@USAirways Not only did u lose the flight plan! Now ur flight crew is FAA timed out! Thx for havin us sit on the tarmac for an hr! #Pathetic,Value For Money
@USAirways my bag landed 1 day Late Flight at sfo at 11:40am. How can it be 10:01pm and I still don't have it? Flight 719 2/22/14,Ground Service
@USAirways this made me have to Cancelled Flight my car reservation and it came out to more money...why did you reschedule a time without the crew?,Value For Money
@JetBlue I understand why ur doing it. But for someone who just traveled 2+ hours to get here early. Relax b4 flight etc. Adv notice maybe??,Ground Service
"@SouthwestAir Flight Cancelled Flightled, reFlight Booking Problems online has not worked, on my second round of hold (3 hrs now). Any other options?",Value For Money
@JetBlue why are we delayed :( flight 1601,Value For Money
@united Thanks for the vague canned response that doesn't address the issue!,Ground Service
@united no Cancelled Flightn just left us to fend for ourselves when flt came in Late Flight. Getting runaround for 3 hrs. Each employee blaming  previous 1.,Value For Money
"@united they're not, actually. gate agent was so rude. now standing in a line waiting for reFlight Booking Problems. missed the only flight to STI. awful.",Cabin Staff Service
.@VirginAmerica I don't understand why you need a DM to give me an answer on if you have a damaged luggage policy.,Ground Service
"@AmericanAir &amp; if that wasn't enough, your staff have been so rude &amp; ignored passengers,don't think that should be accepted whatever reason",Cabin Staff Service
"@USAirways can't seem to find the pilots for our 6pm flight, never seen anything like it before #drunkpilots http://t.co/Zira2z3UDc",Value For Money
@AmericanAir sucks!! Teco teco #reclameaqui #TripAdvisor http://t.co/auGJsCmoLu,Ground Service
"@AmericanAir Oh,i already have turned  itover to them, but apparently losing someones bag on their honeymoon doesn't require accountability",Ground Service
"@JetBlue Flight 2202 out of JFK, 2 &amp; 1/2 hr delay. I could get over it if it was just  weather reLate Flightd, but considering it's not - Come on",Value For Money
@USAirways My brother &amp; his family stranded in CLT tonight bc gate E36 agent wouldn't hold plane for two minutes. Now driving in bad weather,Value For Money
@USAirways found great prices thru US Air for honeymoon. Website wont work and been on hold for more than a hour now after being told 10 min,Ground Service
@JetBlue I had to call back five times to get someone on the phone who knew what they were doing. By that time my getaway went up by $200.,Ground Service
"@united your app says flight UA936 to #ZRH departed 2:45hrs Late Flight, but 5 hours Late Flightr we are still seating inside the plane in #IAD.  #failed",Value For Money
@SouthwestAir There is no way that I am getting back on a plane with your airline. I will be calling to get a refund. As I drive 17 hrs home,Value For Money
"@USAirways how is it that the airport (DCA) and the airline mess up our flights, but also will not cover our hotel costs? At DCA for 5hrs...",Value For Money
.@SouthwestAir 3 days &amp; still not home. Not even off the ground. 3. Days. #PastMyPatienceExpirationDate,Value For Money
@SouthwestAir where your airline people screwed up our boarding passes on the way back from puerto Vallarta. This is horrible and we are,Cabin Staff Service
@SouthwestAir  why are you the only airlines to Cancelled Flight all flights into BNA? Been stranded in philly for 2 days. Hoping to get out in the AM,Value For Money
@united Another delayed United flight. I should not be this surprised or upset. I'm mostly disappointed I have to Cancelled Flight my trip with my dad,Value For Money
@USAirways Ever sit on hold and just lose track of time? http://t.co/Yqhk8LJaBN,Ground Service
"@USAirways I'm assisting @marccopely. He is already rebooked. Agents rude, unhelpful, discourteous. #FrequentFlyers appalled. Unacceptable!!",Ground Service
@SouthwestAir I do need help Cancelled Flighting my flight back. Your calls times are ridiculous.,Ground Service
"@AmericanAir really? That's it? Not even a ""we are looking into this to see what happened/what we could do better next time""",Ground Service
@SouthwestAir our flight is delayed till tomorrow curse the weather,Value For Money
@USAirways hey let flight 1874get to the gate  hours Late Flight and no fate with dozens of kids on board,Value For Money
@AmericanAir In car gng to DFW. Pulled over 1hr ago - very icy roads. On-hold with AA since 1hr. Can't reach arpt for AA2450. Wat 2 do?,Value For Money
"@united so I wasted 40mins filling in 2 online forms you are telling me you didn't receive, how do I know this won't happen this time?",Ground Service
"@JetBlue disappointed that my flight back to boston from PR was Cancelled Flightled,rebooked 4 the next day,delayed that one too, and no compensation",Value For Money
@SouthwestAir I called the 800 # and the rep there was pleasant but less than helpful! Told me I was SOL. Train them for consistent #CX!,Ground Service
"@AmericanAir 's computer systems are down, can't leave without a flight plan! Any ETA, American air?",Ground Service
"@united yep—used that twice; no case id numbers assigned; just tried it again-get screen that says, “thank you for submitting your request”",Ground Service
@united @gg8929 so why did you Cancelled Flight tickets for thousands of people when you didn't like the exchange rate? #doublestandards,Ground Service
"@AmericanAir Oh, and losing my luggage #ridiculous # angrybird # where'smybag",Ground Service
@USAirways @AmericanAir Is there a way to reserve a veg meal online for a flight to Brazil tomorrow? I've been onhold for more than 1 hour.,Food & Beverages
@united its 2015 and no power outlets at the seats on a 6 hour flight to California? Seriously? This is why airlines are failing!! Pathetic!,Legroom
@USAirways #stuck in Florida with no flights... Service sucks here. #nofood #nodrinks #nohelp,Food & Beverages
"@JetBlue That makes sense. It sucks, though, because now I'll be stuck in the airport for 5+ hours and Late Flight to my meeting.",Value For Money
@united the Premier desk was able to rebook me with our friends at @AmericanAir. Only problem is now I have to pay for a checked bag :/,Value For Money
@AmericanAir @dotnetnate Two hour wait for EXPs as I sit on a JFK PHX flight because US computers are down. Any shot at an LAX flight?,Ground Service
"@AmericanAir LGA already by the time we pulled from the flight. QQBMUG. feel free to look up how many flights we've been ""reticketed"" on.",Value For Money
@SouthwestAir unable to book travel right now on the website or through the app. Help!,Ground Service
@USAirways ticket counter people here are not helping and just want to charge more money even after this horrible day.,Ground Service
@USAirways with such disrespect I cannot even begin to explain. He has an issue with women and he literally yelled at me and pulled me off,Cabin Staff Service
"The lede reminds me of a Texas oilman I knew in Russia in early '80s. His job required him to fly from Moscow to points east &amp; south. He told me he didn't eat or drink for 24-36 hours before flying, just so he wouldn't have to use the Aeroflot bathrooms...
",Food & Beverages
@united Well I can tell you that your customer service at RDU airport is horrific but is exception at O'Hare in Chicago.,Ground Service
@SouthwestAir why was Southwest only airline to Cancelled Flight all flights from Charleston? Was 7:50pm flight Cancelled Flightation really weather reLate Flightd?,Value For Money
@SouthwestAir couldn't be bothered to help with my lost my luggage. Not a single helpful employee owner to be found in BWI.,Ground Service
@SouthwestAir flight to Atlanta getting Cancelled Flightled and then had to re schedule on the phone for over 1.5 hours with a rep this bumping us,Value For Money
@united arrived in YYZ to take our flight to Taiwan. Reservation missing our ticket numbers. Slow agent Sukhdeep caused us to miss our flt.,Ground Service
@SouthwestAir your agents were the ones who were rude and unhelpful and prompted my initial tweet. This is so easy to fix.,Ground Service
@USAirways This is ridiculous. You delayed my husband's flights &amp; made him miss his connection. Told him to leave his bags. Sent him (1/3),Value For Money
"@AmericanAir I understand that, but I'm not even being put on hold - it says ""try again Late Flightr, goodbye"".",Ground Service
@AmericanAir The bad weather wasn't a surprise! You should have double/triple staff on hand to handle calls. Way to treat your customers.,Ground Service
@united and the fact that we were treated disrespectfully and lied to by members of your airline that claims to strive for the best,Ground Service
"@AmericanAir @sa_craig no gate agent, and only 3 PA updates for 3 hours, hinted at abandonment. horrible experience for all passengers.",Cabin Staff Service
"@USAirways We did. @AmericanAir said to open one with you, too.",Ground Service
@USAirways stop Cancelled Flighting flights over and over and not provide any real help to your customers. #strandedinnashville,Value For Money
"@JetBlue appreciate the response but already spoke to a MCO and their response was ""There is nothing we can do"" idk if that's what you mean",Ground Service
@USAirways Cancelled Flightled due to maintenance. The plane was there for 10 hours. Get your shit together because there are a lot of people unhappy.,Value For Money
"@SouthwestAir almost 2 hours on hold, 2 hours of my life I can't get back.... Thanks http://t.co/IyUZM2PUVS",Ground Service
@SouthwestAir your phone lines suck. I have a dilemma.,Ground Service
@USAirways I realize the weather but day after day our flights keep getting Cancelled Flighted. Please prioritize ur passengers and help them,Value For Money
@united more and more delays! No CS help at all! No notifications!,Value For Money
@USAirways Hmmm. Did the flight even really exist or did they just create it last night to get people off their backs? #usairsucks,Value For Money
"@SouthwestAir it's not disappointment, it's a blatant disregard for your business select customers, it's becoming a problem that's pushing",Ground Service
@USAirways  you Cancelled Flightled both my flights and refused to give a voucher despite no flights for 2days. @USAirways #neveragain,Value For Money
@united i emailed the customer care via the website form. After a long wait Rachelle resolved my issue. But I'm still irritated w/ united.,Ground Service
"@AmericanAir Heard back at 7:30 am today, was put on flight tomorrow AM, arriving home at 4 pm. Meaning I'd have to take a 2nd day off work.",Value For Money
@USAirways thanks for three Cancelled Flightled flight and making us go from raleigh to charlote to lexington to philly. istead of raleigh to philly,Value For Money
@united flight UA3364 been sitting on tarmac for 30 mins with no report as to why...any input?,Value For Money
@JetBlue what's going on with flight 669 and how many free trips will I get from this epic inconvenience @anku http://t.co/pEUc0BMij9,Value For Money
@AmericanAir How do I change my flight if the phone system keeps telling me that the representatives are busy?,Ground Service
"@SouthwestAir Hey, friends. When I phone the A-list number your IVR hangs up on me. Multiple times. Not sure how to proceed?",Ground Service
@USAirways so you're not honoring miles with @united that were traveled last year?,Ground Service
"@USAirways @KieranMahan needs two nights at a hotel in phoenix until he can get back to Philly because of plane equipment, crazy!",Value For Money
@SouthwestAir when will you be accepting reservations past August 7?,Ground Service
@USAirways my flight is delayed so I missed my connecting flight. Stuck in Philadelphia over night and no hotel voucher? Thanks for nothing,Value For Money
"@SouthwestAir  Flight today from PHL to DAL Cancelled Flightled. 96 min on hold, rebooked for tomorrow. Now that flight is Cancelled Flightled.  On hold again.",Value For Money
@united will do. Thx. Been sitting on plane now for 2.5 hrs and now we have to refuel!  I can't even make this stuff up.,Value For Money
@AmericanAir trying to check in for flight. On line not working &amp; agents too busy to take my call.,Ground Service
"@USAirways worst service at Reagan Int. I rarely post about a company or service, but I am so annoyed. Not weather reLate Flightd…incompetence.",Cabin Staff Service
@VirginAmerica I have lots of flights to book and your site it not working!!!! I've been on the phone waiting for over 10 minutes..........,Ground Service
@SouthwestAir Is my friend lucky enough to see #DestinationDragons live on his birthday? He's been a fan for years @thirty_lives,Value For Money
@JetBlue any news on flight 122 pbi-boston delay? Can we wait to arrive at airport based on reported 1 and 1/2 hour delay?,Value For Money
@united. Is it reasonable to wait 45 mins for the bag you made me check because the flight staff couldn't police the overhead bins?,Cabin Staff Service
@JetBlue now we are waiting over an half hr for the packages. What's wrong with you guys?? http://t.co/wVGpp3Ymz1,Ground Service
"@VirginAmerica seriously would pay $30 a flight for seats that didn't have this playing.
it's really the only bad thing about flying VA",Legroom
"@united really? 3 hr delay, 4 gate changes, &amp; you boarded us, sent us back up, &amp; boarded us again.  Won't change our flight. Can we go now?",Value For Money
"@USAirways A tweeted apology is not enough for delay fiasco. NONE for insult from gate agent is worse. Except for Mark N., all bad at CLT.",Value For Money
@USAirways please help on hold 3 hours can't change flights I'm stuck here,Value For Money
@JetBlue @EllaHenderson the highlight of being delayed #freeconcert,Value For Money
@AmericanAir you guys need to educate your employees on what a pink tag is AND STOP LOSING MY GUITAR FOR THE 10 THOUSANDTH TIME!,Ground Service
@united Ugh.  My bags were sent to Palm Springs and not to LAX as promised.  They better be at the hotel when I get there.,Ground Service
@SouthwestAir if you guys fuck this up again  I will never forgive you,Ground Service
@united A generic form with tons of fields asking for info you already?  Expected more as a premier platinum. Another #servicefail,Ground Service
"@united I'm not sure how you can help. Your flight experience is terrible, planes are dirty and staff is rude. Start over perhaps?",Cabin Staff Service
@USAirways Three hour delay from Miami to London.  None of the other flights today are delayed. Put me on another flight!,Value For Money
@USAirways now on hold for 2 hrs 20 min. This is ridiculous,Ground Service
"@united cabin crew were huge offenders, stood as a conversational cluster blocking exiting passengers",Cabin Staff Service
@SouthwestAir You completely let me down tonight. Your gate agents' ambivalence is just too much. How sad for you (&amp; me.),Ground Service
"Today marks the kick-off of United Airlines meal packaging events at 3 airports across the country. Thank you for committing to packaging 300,000 emergency response meals throughout June to support our beneficiaries in Nicaragua and Vietnam in the midst of COVID-19! ",Food & Beverages
@AmericanAir The flight is the wrong day. Confirm # USXLON. Departure on 5/21 should be 5/22 for 2 people,Ground Service
@united delayed another hour,Value For Money
"@USAirways was switched to an American Airlines flight, not by choice, and now I am charged $50 for bags? Thought y'all merged?",Ground Service
@united my PQMs and PQDs are no longer showing up correctly in my MileagePlus acct. How can I get this fixed?,Ground Service
@united customer service is the WORST. hanging up on customers intentionally after one hour on hold.,Ground Service
"@SouthwestAir ""...you in the 10 hrs we were hanging out there? Oh, no I understand things get crazy n sometimes 10 hours isn't long enough.""",Value For Money
@united how can u not have gate ready or gate agent for going on hour two,Value For Money
@USAirways have been waiting in an airplane for a total of 3 hours to take off between 2 flights today...this usually doesn't happen...,Value For Money
@USAirways  in don't have it on me at the time as I am taking Amtrak home. How do we call for partial refunds?,Value For Money
@united U kept passengers waiting all night 4 a plane that was being put out of service.  Leaving everyone stranded for night. #inexcusable,Value For Money
"@JetBlue I called jet blue to get an explanation, and make sure it would not happen in the future. I was told to write the fraud dept.",Ground Service
"@united worst AIRLINE 
BEWARE THEY DO NOT MAINTAIN THERE PLAIN 
BEEN ON THE RUNWAY THE PAST 4 HOURS!!!/",Value For Money
@AmericanAir your customer service is a disgrace.,Ground Service
"@united just like clockwork, Friday afternoon flights from LAS to DEN running Late Flight. Why does this seem to happen so consistently #KeepIt100",Value For Money
"@AmericanAir thanks for the call on my Cancelled Flightled flight, NOT!  Flight Booking Problems me for Tues no good weather caused me 2 leave early",Value For Money
"Thanks @united, great news that u won't refund tickets due to a bad exchange rate. I knew u would come to your senses @gg8929 @UnitedAppeals",Ground Service
@united @FernHeinig18 your delay is due to your own making. We have now been back to the gate multiple times. Maybe take accountability,Value For Money
@United many people on Ua6318 are going to miss connections due to long wait time in SFO tarmac. Seriously u can't find an empty gate?,Value For Money
@USAirways depart from where? It departed PHX and was due to land at DCA around 8pm.,Value For Money
@usairways hopefully your crappy service improves as u become @americanairlines #angryairtravel #winterstorm,Ground Service
@USAirways Missed flight. Rude CSR. No flight till Tuesday. No answer on twitter. Help me out with a RT @pattonoswalt you're my only hope.,Value For Money
"@AmericanAir Was put on hold for 5.5 hrs then got a call back at 11:20 pm, only to wait on hold for another hour.",Value For Money
@AmericanAir I am honestly in shock how this process and service compares to my other airline experiences. Not really sure what to say...,Ground Service
@united yet again you disappoint. Sitting at IAD for UA3728 for 3.5hrs and you can't seem to know why the plane hasn't left Albany. #Fail,Value For Money
"@SouthwestAir 50min to get bag checked n ATX, miss my flight, spend all day @BWI, n not get my baggage at the end of it all.  #epitimeoffail",Ground Service
@united 1k member broken seat back broken tv broken light lost bag  gee thnx. UA922 awesome job,Inflight Entertainment
@JetBlue Third straight time that my flight has been delayed flying with you guys. This will be my last trip with you.,Value For Money
@SouthwestAir is that the same reliable system couldn't find my info and then said it refund my credit card ?,Ground Service
"@JetBlue According to your ground staff, it hasn't even been taken off the plane yet!",Value For Money
"@united that's what I tried to do, but when entering email into 2nd device made email typo. No way to fix it &amp; no option to log out/in!!!",Ground Service
@SouthwestAir my sister and her family had to drive 1200 miles because you did not accommodate a rebook in a timely manner! HORRIBLE,Ground Service
@SouthwestAir why is customer relations still not open....in Texas?!,Ground Service
@JetBlue Cancelled Flighted my flight. Went with another airline 2 leave 2day. They Cancelled Flighted also. Called JetBlue &amp; got same flight but now $250 more👺,Value For Money
@united UA647 heading back to gate bc improper load? if ur packing us to the gills should at least take care to load bags. expecting comp...,Value For Money
"@AmericanAir When I left Orlando, I was 2nd in line for standby. I land and I'm 4th. 'Priority members get first available seats'. Awesome.",Legroom
@united meant changed planes - i hate seating over wing if u wanted I would have booked it - u will get formal complaint,Ground Service
@USAirways I fucking hate your customer service. I've been on hold all morning trying to figure out why you Cancelled Flighted my flight.,Ground Service
@AmericanAir  ugh Dump us in dfw w/no luggage then Cancelled Flight our flight 3 more times. Sat arrival now Tue?,Value For Money
@USAirways pilot for flight 729 didn't show until after departure ⌚️ &amp; now there's a broken computer. Next time flying @United. #ALWAYSLate Flight,Value For Money
@united I was not looking for the fare to be returned on the companion flight.  don't understand why an additional $200 fee was necessary.,Ground Service
@JetBlue why was Flight 1856 delayed to Buffalo ?  It’s a direct flight and the plane is at the gate.,Value For Money
"@SouthwestAir  Tried to leave Monday, all other planes left but mine. Now this one keeps getting delayed. Missed work. Have to pay for a cab",Value For Money
@SouthwestAir No. We were in a large group. Majority of the 30+ bags were soaked.,Ground Service
@united Ph the pat answers are BS. After I was denied boarding it sat at the gate until 9:05! Your employees totally suck.,Cabin Staff Service
@united I can't tell/purchase through the website because they put us on a Lufthansa flight for the first leg.,Ground Service
@SouthwestAir can I get any kind of update on the delayed flight from Boston to Houston at 7:30? Really need to be back home tonight!,Value For Money
@USAirways horrible travel day w/ your airlines. My 2:20 flight to Birmingham was Cancelled Flightled w/ no notification so I couldn't get on the 4:05,Value For Money
@united Now about two dozen back in line to see a single CSR for reFlight Booking Problems final leg. (Kiosks on fritz.),Ground Service
@SouthwestAir I just sent it over,Ground Service
"@JetBlue Felt a bit like they were adding insult to injury, since we'll be in terminal 5 for seven hours until the next flight :/",Value For Money
"@United - Ridiculous to fly outdated 757s anywhere much less btwn IAH and SFO. No power ports, no  Wifi, no personal entertainment. TORTURE",Inflight Entertainment
@USAirways what's the issue with flight 4420 from jax being delayed tonight?,Value For Money
@SouthwestAir love how you hold flight 2851 in PHX for Late Flight passengers and make us all over an hour Late Flight. Great job.,Value For Money
"@AmericanAir @USAirways and our meals are also on us, because this company does not care about their #customers. Truly disgraceful.",Food & Beverages
"@AmericanAir @dogbuckeye No, I was on hold for 4 1/2 hours.  3 diff agents each w/ different information, frustrating, kept getting txfd...",Ground Service
@SouthwestAir my question is this: what's up with the crazy boarding procedure? Does the confusion prevent fistfights over the good seats?,Legroom
"@united He needs to get to home the 24th, they're telling him it'll be the 25th @ night. Is there compensation or anything that can be done?",Value For Money
@USAirways  2 hours on hold and issue still not resolved. hope to make my flight in 12 hours. for every minute of talk = 20 minutes of hold,Ground Service
@united this is very disappointing. This is about customer service.,Ground Service
"@AmericanAir As I already have a booked flight that I can't use &amp; can't change w/o a $200 fee, Flight Booking Problems a different type of ticket...1/2",Ground Service
"@united troubling news, time to raise the bar on legroom! http://t.co/nmbHNGnMkI",Legroom
"@AmericanAir that's the one. My original arrival time was 10:14am, after all said and done I may be there by 9:19pm central. Not impressed.",Value For Money
@JetBlue we are missing our connecting transportation in Puerto Rico as a result. Need to get to Vieques today.,Ground Service
@USAirways I did at 7 pm! Still no bag..,Ground Service
"@JetBlue nope. The ""regular"" line was multi-x faster. You literally direct all the wheelchairs and strollers into the same line as EMS.",Ground Service
@united please fire the captain of flight 6232 today. He single handedly ruined every passengers day by being a piece of shit. #unitedsucks,Cabin Staff Service
@JetBlue #1408 IAD to JFK still hasn't boarded. What's today's excuse and how am I gonna get to work?,Value For Money
"@USAirways delayed my flight 3 times before Cancelled Flighting it, had angry and rude workers, and are now providing no helpful service at all",Value For Money
@USAirways   Not good. On hold for over an hour. http://t.co/wSgYckCIIO,Ground Service
@united KN: not allowing me to bypass the receipt # on the refund request form. Never received receipt email. charged http://t.co/Cju102xP2k,Ground Service
@SouthwestAir Cancelled Flightled my flight won't refund me and told me 2 call customer service n been holding for 30 minutes still waitin #BadService,Value For Money
@JetBlue yes. They are working on it. Hoping bag is on the next flight and will deliver home...,Ground Service
@USAirways this is going to take up to an hour--not okay USAir. Not okay. This is ruining everything.,Value For Money
"@united @laurasbrown5 What does ""dealing via email"" have anything to do with a crappy web form that is not made for mobile devices",Ground Service
@AmericanAir I am going to keep these tweets coming till AA does something...which I know is nothing..hoping I go way...not likely.,Ground Service
@SouthwestAir you need to redeem yourself. I lost respect for you tonight #lostbags #filmjobnoequipment,Ground Service
@usairways is there not a faster way to get me to Columbia Sc than making me stay in CLT over night after my delayed flight?,Value For Money
@USAirways 2 hours and counting. ..what kind of travel voucher do I get for this??,Ground Service
@USAirways it's painful being on hold to you!! Really 25 minutes to change a flight!! http://t.co/ocqk0JFXuA,Ground Service
@united well the income flight to dca to take us to ewr was delayed and it made us miss our connection to FLL so yes hotels were necessary,Value For Money
"@united Unfortunately had a bad experience flying with you on Saturday. Inpolite crew, bad delays.",Cabin Staff Service
"@united thanks for delaying our flight for an hour, missing our connecting flight and terrible customer service. #neveragain #vacation",Value For Money
@SouthwestAir - really?  All other carriers are staffed and you've got a triple looped one and no employees in sight in OKC,Cabin Staff Service
@united I have sent a message with a bag tag. Have you looked?,Ground Service
"@AmericanAir offered me a cot to sleep on?After they Cancelled Flightled my flight. A fucking cot. What about a hotel, like you're supposed to provide",Value For Money
@USAirways if one with @AmericanAir why can't you use American miles????,Ground Service
@USAirways on hold 2 hours 54 minutes. What's going on?,Value For Money
@USAirways on hold with 800-428-4322. Flight from DSM to DCA was Cancelled Flighted (4473). Know when it will fly?,Value For Money
"@USAirways Disgusted with your poor customer service. U wrongfully remove &gt; 65,000 miles from my Dividend Miles and no live person,",Ground Service
@JetBlue U said 15mins to Take Off and now we were told 1hr more delay &amp; possible Cancelled Flightlation. How do U plan to rectify this? #Frustrated,Value For Money
@united employees almost seem happy when delivery terrible customer service.,Cabin Staff Service
@USAirways tooooo many Cancelled Flightations! My chain of command hates me now,Value For Money
"@SouthwestAir why would I want to when the last time I did, you screwed me out of my early boarding that I PAID FOR.",Ground Service
@united not sure why u call it customer care.  Should be customer we don't care,Ground Service
"@united besides landing the plane, overall customer service experience has been poor. Late Flight and rude workers plus missing luggage",Ground Service
"@jetblue all your online resources  say we're on time, but clearly we are not.  This is not very information age of you...",Value For Money
@United can you let us out of the gate now. UA1157,Value For Money
@USAirways we got 1 drink then F/A sat in jump seat doing crosswords. Glasses picked up at landing. Just a very lazy service 4 First class.,Food & Beverages
@USAirways another bad experience today.  Frozen pipes on 597.  Missing connection.,Ground Service
@USAirways what happens if the flight takes off before we Cancelled Flight?? That's the issue. We don't want to pay because of your inaccessibility!,Ground Service
"@VirginAmerica got a flight (we were told) for 4:50 today..,checked my email and its for 4;50 TOMORROW. This is unacceptable.",Value For Money
@united so 8 hotels for 32 people but feel like we are being held hostage because someone has our boarding passes so we can't leave! #FAIL,Value For Money
"@JetBlue what's up? Three delays so far, resulting in over three hours of unnecessary, extra waiting.",Value For Money
@united UA1023 sitting on Tarmac at ORD when there are visibly gates open. Reassign our gate.,Value For Money
"@USAirways Thanks means a lot after I was verbally cussed out, charged extra for a bag, &amp; then told "" I don't feel like dealing with it"" 😒",Cabin Staff Service
"@USAirways @keithlaw  I flew US Air for the first time yesterday, got propositioned by the flight attendant....true story!  #Creditcardsales",Cabin Staff Service
@AmericanAir my husband and 5 year old son stuck overnight in DC thanks to 7 crew members arguing over who was boarding the flight,Value For Money
"@AmericanAir no I've since rebooked with another airline, what I would like is compensation for all the time/money lost!",Ground Service
@SouthwestAir broke the stroller my wife and baby gate checked. They told her it's not their problem. Calling the A List Preferred line now.,Cabin Staff Service
@united recent services have been very bad. My NC trip was aweful. Very disappointed and never again.,Ground Service
"@USAirways Your gate team are polite. But your planes are habitually Late Flight. In many cases, passengers are waiting for the flight crew!",Value For Money
"@AmericanAir Hey you Cancelled Flightled my flight, and I can't get someone on the phone to rebook (2 hour wait minimum). Can I get some service?",Value For Money
"@united If someone misses his connecting flight because of the airline, and it was the last flight of the day, how will you fix it?",Value For Money
@AmericanAir is this how you let your employees treat your loyal customers? #attackingbabymomma #crazinessintherockies,Cabin Staff Service
"@united It's still a valid flight. Just seems strange to delay for Late Flight inbound crew,  7 hours from now, when the plane is already here.",Value For Money
"@SouthwestAir LA always has traffic, but this is INSANE. I can't be the only one with this issue on flight 1625",Value For Money
"@united Waiting for 3494 EWR-ORD, delayed 47 mins. Might miss 5491 ORD-YWG at 6pm CT. Any room on 5644 ORD-YWG in case I miss connex?",Value For Money
"@united what do you think missing meetings is worth?  A flight voucher?  I fly all the time, so what would make it right?",Value For Money
@JetBlue busy due to storm but customer service should always be on point. More so now than ever #getittogether,Ground Service
@united  #UnitedAirlines  how long will1531 be delayed.,Value For Money
"@united. Please get me an economy plus seat. Awful day of 2 Cancelled Flighted flights, after lots of planning.",Value For Money
"@USAirways ruined our honeymoon by causing us to miss our international flight, and now we are stranded.",Value For Money
